Machine number;Part number;Part name
62901;6327109809;ALtracs Plus Schraube AP 40x10
62908;6317330809;ALtracs Plus Schraube AP 30x8/7
62915;4212080809;DELTA PT Schraube 30x12
62919;4211764809;DELTA PT Schraube 35x16
62918;4210964807;DELTA PT Schraube 40x16-R
62907;6501363601;Spiralform Schraube SF M4x8,8
62900;6414140609;SHEETtracs Schraube 50x14
62915;4013586809;PT Schraube K40x14
62916;4220127809;DELTA PT Schraube 40x14
62922;4221193809;DELTA  PT Schraube 40x18
62917;4230092329;DELTA PT Schraube 40x10
62909;6397395809;ALtracs Plus Schraube AP 40x12/10
62908;4013698809;PT Schraube K35x13
62924;4014282801;PT Schraube K50x22
62906;6307215809;ALtracs Plus Dobo AP 60x10,5/M6x14-EP5
62908;4014622807;PT Schraube KA35x8
62913;6390190809;ALtracs Plus Schraube AP 60x19/15
62916;4220612801;DELTA PT Schraube 40x12
62907;6001649809;Metrische Schraube M6x10-CH-10.9
62900;6317076809;ALtracs Plus Schraube AP 30x9,5/7
62923;6414177609;SHEETtracs Schraube 50x15,5
62914;6414368809;SHEETtracs Schraube 50x15,5
62908;6424128609;SHEETtracs Schraube 35x12
62906;6414366609;SHEETtracs Schraube 50x15,5
62914;4212084320;DELTA  PT Schraube 50x20
62905;4014823809;PT Schraube K60x25
62903;6397228801;ALtracs Plus Schraube AP 60x14
62908;6317066801;ALtracs Plus Schraube AP 35x14/11
62906;6002020819;Metrische Schraube M6x12-8.8
62922;4014783801;PT Schraube K40x12,5
62904;4011958809;PT Schraube K60x24
62908;4212609809;DELTA PT Schraube 30x8
62906;4211846809;DELTA PT Schraube 60x20
62900;4221158809;DELTA  PT Schraube 30x16-R
62905;6397209809;ALtracs Plus Schraube AP 80x27/23
62918;6327752809;ALtracs Plus Schraube AP 30x7
62903;4014688801;PT Schraube K60x30
62908;4011975801;PT Schraube K40x14
62918;4220991801;DELTA  PT Schraube 30x10-R
62904;4013756809;PT Schraube K60x18
62913;6390177801;ALtracs Plus Schraube AP60x19/15
62914;4221207809;DELTA  PT Schraube 40x16-DS-EC1
62918;6327521801;ALtracs Plus Schraube AP 30x8/7
62905;6001306819;Doppelbolzen M6x16/Ø6,55x10-8.8
62918;6002005320;Metrische Schraube M3x8-CH-H
62918;6001561811;Metrische Schraube M3x38/12-CH-8.8
